t, contact_pattern_index, p_x_true, p_y_true, p_z_true, v_x_true, v_y_true, v_z_true, p_1x_true, p_1y_true, p_1z_true, p_2x_true, p_2y_true, p_2z_true, p_3x_true, p_3y_true, p_3z_true, p_4x_true, p_4y_true, p_4z_true, p_x_est, p_y_est, p_z_est, v_x_est, v_y_est, v_z_est, p_1x_est, p_1y_est, p_1z_est, p_2x_est, p_2y_est, p_2z_est, p_3x_est, p_3y_est, p_3z_est, p_4x_est, p_4y_est, p_4z_est, y_p_1x, y_p_1y, y_p_1z, y_p_2x, y_p_2y, y_p_2z, y_p_3x, y_p_3y, y_p_3z, y_p_4x, y_p_4y, y_p_4z, y_v_1x, y_v_1y, y_v_1z, y_v_2x, y_v_2y, y_v_2z, y_v_3x, y_v_3y, y_v_3z, y_v_4x, y_v_4y, y_v_4z, P_p_bx_std, P_p_by_std, P_p_bz_std, P_v_bx_std, P_v_by_std, P_v_bz_std, P_p_1x_std, P_p_1y_std, P_p_1z_std, P_p_2x_std, P_p_2y_std, P_p_2z_std, P_p_3x_std, P_p_3y_std, P_p_3z_std, P_p_4x_std, P_p_4y_std, P_p_4z_std, p_vpsp_x, p_vpsp_y, p_vpsp_z
0.063,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.192985,0.110948,0.073721,0.192986,-0.110948,0.073720,-0.193015,0.110950,0.073721,-0.193012,-0.110969,0.073723,0.000000,0.000000,0.224694,0.000000,0.000000,-0.047845,0.200000,0.075000,0.024699,0.200000,-0.075000,0.024699,-0.200000,0.075000,0.024699,-0.200000,-0.075000,0.024699,0.000000,0.000000,-0.000123,0.000000,0.000000,-0.000123,0.000000,0.000000,-0.000123,0.000000,0.000000,-0.000123,0.000000,0.000000,0.049068,0.000000,0.000000,0.049068,0.000000,0.000000,0.049068,0.000000,0.000000,0.049068,0.001028,0.000000,0.001027,0.007905,0.007905,0.007905,0.004992,0.004992,0.004992,0.004992,0.004992,0.004992,0.004992,0.004992,0.004992,0.004992,0.004992,0.004992,0.0,0.0,0.0
0.069,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.192985,0.110948,0.073721,0.192986,-0.110948,0.073720,-0.193015,0.110950,0.073721,-0.193012,-0.110969,0.073723,0.000000,0.000000,0.224406,0.000000,0.000000,-0.094306,0.200000,0.075000,0.024422,0.200000,-0.075000,0.024422,-0.200000,0.075000,0.024422,-0.200000,-0.075000,0.024422,0.000000,0.000000,-0.000367,0.000000,0.000000,-0.000367,0.000000,0.000000,-0.000367,0.000000,0.000000,-0.000367,0.000000,0.000000,0.096895,0.000000,0.000000,0.096895,0.000000,0.000000,0.096895,0.000000,0.000000,0.096895,0.001036,0.000000,0.001035,0.008179,0.008179,0.008179,0.004993,0.004993,0.004993,0.004993,0.004993,0.004993,0.004993,0.004993,0.004993,0.004993,0.004993,0.004993,0.0,0.0,0.0
0.075,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.192985,0.110948,0.073721,0.192986,-0.110948,0.073720,-0.193015,0.110950,0.073721,-0.193012,-0.110969,0.073723,0.000000,0.000000,0.223938,0.000000,0.000000,-0.139284,0.200000,0.075000,0.023965,0.200000,-0.075000,0.023965,-0.200000,0.075000,0.023965,-0.200000,-0.075000,0.023965,0.000000,0.000000,-0.000610,0.000000,0.000000,-0.000610,0.000000,0.000000,-0.000610,0.000000,0.000000,-0.000610,0.000000,0.000000,0.143356,0.000000,0.000000,0.143356,0.000000,0.000000,0.143356,0.000000,0.000000,0.143356,0.001045,0.000000,0.001045,0.008430,0.008430,0.008430,0.004995,0.004995,0.004995,0.004995,0.004995,0.004995,0.004995,0.004995,0.004995,0.004995,0.004995,0.004995,0.0,0.0,0.0
0.080,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.192985,0.110948,0.073721,0.192986,-0.110948,0.073720,-0.193015,0.110950,0.073721,-0.193012,-0.110969,0.073723,0.000000,0.000000,0.223309,0.000000,0.000000,-0.182688,0.200000,0.075000,0.023346,0.200000,-0.075000,0.023346,-0.200000,0.075000,0.023346,-0.200000,-0.075000,0.023346,0.000000,0.000000,-0.000846,0.000000,0.000000,-0.000846,0.000000,0.000000,-0.000846,0.000000,0.000000,-0.000846,0.000000,0.000000,0.188334,0.000000,0.000000,0.188334,0.000000,0.000000,0.188334,0.000000,0.000000,0.188334,0.001056,0.000000,0.001055,0.008660,0.008660,0.008660,0.004997,0.004997,0.004997,0.004997,0.004997,0.004997,0.004997,0.004997,0.004997,0.004997,0.004997,0.004997,0.0,0.0,0.0
0.086,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.192985,0.110948,0.073721,0.192986,-0.110948,0.073720,-0.193015,0.110950,0.073721,-0.193012,-0.110969,0.073723,0.000000,0.000000,0.222534,0.000000,0.000000,-0.224447,0.200000,0.075000,0.022581,0.200000,-0.075000,0.022581,-0.200000,0.075000,0.022581,-0.200000,-0.075000,0.022581,0.000000,0.000000,-0.001073,0.000000,0.000000,-0.001073,0.000000,0.000000,-0.001073,0.000000,0.000000,-0.001073,0.000000,0.000000,0.231738,0.000000,0.000000,0.231738,0.000000,0.000000,0.231738,0.000000,0.000000,0.231738,0.001067,0.000000,0.001066,0.008871,0.008871,0.008871,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.0,0.0,0.0
0.092,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.192985,0.110948,0.073721,0.192986,-0.110948,0.073720,-0.193015,0.110950,0.073721,-0.193012,-0.110969,0.073723,0.000000,0.000000,0.221631,0.000000,0.000000,-0.264513,0.200000,0.075000,0.021688,0.200000,-0.075000,0.021688,-0.200000,0.075000,0.021688,-0.200000,-0.075000,0.021688,0.000000,0.000000,-0.001292,0.000000,0.000000,-0.001292,0.000000,0.000000,-0.001292,0.000000,0.000000,-0.001292,0.000000,0.000000,0.273497,0.000000,0.000000,0.273497,0.000000,0.000000,0.273497,0.000000,0.000000,0.273497,0.001079,0.000000,0.001078,0.009064,0.009064,0.009063,0.005002,0.005002,0.005002,0.005002,0.005002,0.005002,0.005002,0.005002,0.005002,0.005002,0.005002,0.005002,0.0,0.0,0.0
0.099,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.192985,0.110948,0.073721,0.192986,-0.110948,0.073720,-0.193015,0.110950,0.073721,-0.193012,-0.110969,0.073723,0.000000,0.000000,0.220617,0.000000,0.000000,-0.302857,0.200000,0.075000,0.020683,0.200000,-0.075000,0.020683,-0.200000,0.075000,0.020683,-0.200000,-0.075000,0.020683,0.000000,0.000000,-0.001502,0.000000,0.000000,-0.001502,0.000000,0.000000,-0.001502,0.000000,0.000000,-0.001502,0.000000,0.000000,0.313563,0.000000,0.000000,0.313563,0.000000,0.000000,0.313563,0.000000,0.000000,0.313563,0.001092,0.000000,0.001091,0.009240,0.009240,0.009240,0.005005,0.005005,0.005005,0.005005,0.005005,0.005005,0.005005,0.005005,0.005005,0.005005,0.005005,0.005005,0.0,0.0,0.0
0.104,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.192985,0.110948,0.073721,0.192986,-0.110948,0.073720,-0.193015,0.110950,0.073721,-0.193012,-0.110969,0.073723,0.000000,0.000000,0.219506,0.000000,0.000000,-0.339468,0.200000,0.075000,0.019581,0.200000,-0.075000,0.019581,-0.200000,0.075000,0.019581,-0.200000,-0.075000,0.019581,0.000000,0.000000,-0.001703,0.000000,0.000000,-0.001703,0.000000,0.000000,-0.001703,0.000000,0.000000,-0.001703,0.000000,0.000000,0.351907,0.000000,0.000000,0.351907,0.000000,0.000000,0.351907,0.000000,0.000000,0.351907,0.001106,0.000000,0.001105,0.009402,0.009402,0.009401,0.005008,0.005008,0.005008,0.005008,0.005008,0.005008,0.005008,0.005008,0.005008,0.005008,0.005008,0.005008,0.0,0.0,0.0
0.109,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.192985,0.110948,0.073721,0.192986,-0.110948,0.073720,-0.193015,0.110950,0.073721,-0.193012,-0.110969,0.073723,0.000000,0.000000,0.218315,0.000000,0.000000,-0.374349,0.200000,0.075000,0.018398,0.200000,-0.075000,0.018398,-0.200000,0.075000,0.018398,-0.200000,-0.075000,0.018398,0.000000,0.000000,-0.001895,0.000000,0.000000,-0.001895,0.000000,0.000000,-0.001895,0.000000,0.000000,-0.001895,0.000000,0.000000,0.388518,0.000000,0.000000,0.388518,0.000000,0.000000,0.388518,0.000000,0.000000,0.388518,0.001121,0.000000,0.001120,0.009549,0.009549,0.009549,0.005012,0.005012,0.005011,0.005012,0.005012,0.005011,0.005012,0.005012,0.005011,0.005012,0.005012,0.005011,0.0,0.0,0.0
0.115,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.198053,0.099312,0.090244,0.198054,-0.099312,0.090244,-0.198059,0.099317,0.090247,-0.198057,-0.099335,0.090248,0.000000,0.000000,0.217058,0.000000,0.000000,-0.407518,0.200000,0.075000,0.017149,0.200000,-0.075000,0.017149,-0.200000,0.075000,0.017149,-0.200000,-0.075000,0.017149,0.000000,0.000000,-0.002077,0.000000,0.000000,-0.002077,0.000000,0.000000,-0.002077,0.000000,0.000000,-0.002077,0.000000,0.000000,0.423399,0.000000,0.000000,0.423399,0.000000,0.000000,0.423399,0.000000,0.000000,0.423399,0.001137,0.000000,0.001136,0.009684,0.009684,0.009683,0.005015,0.005015,0.005015,0.005015,0.005015,0.005015,0.005015,0.005015,0.005015,0.005015,0.005015,0.005015,0.0,0.0,0.0
0.121,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.198053,0.099312,0.090244,0.198054,-0.099312,0.090244,-0.198059,0.099317,0.090247,-0.198057,-0.099335,0.090248,0.000000,0.000000,0.215746,0.000000,0.000000,-0.439004,0.200000,0.075000,0.015845,0.200000,-0.075000,0.015845,-0.200000,0.075000,0.015845,-0.200000,-0.075000,0.015845,0.000000,0.000000,-0.002251,0.000000,0.000000,-0.002251,0.000000,0.000000,-0.002251,0.000000,0.000000,-0.002251,0.000000,0.000000,0.456568,0.000000,0.000000,0.456568,0.000000,0.000000,0.456568,0.000000,0.000000,0.456568,0.001153,0.000000,0.001152,0.009807,0.009807,0.009807,0.005019,0.005019,0.005019,0.005019,0.005019,0.005019,0.005019,0.005019,0.005019,0.005019,0.005019,0.005019,0.0,0.0,0.0
0.128,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.198053,0.099312,0.090244,0.198054,-0.099312,0.090244,-0.198059,0.099317,0.090247,-0.198057,-0.099335,0.090248,0.000000,0.000000,0.214394,0.000000,0.000000,-0.468845,0.200000,0.075000,0.014499,0.200000,-0.075000,0.014499,-0.200000,0.075000,0.014499,-0.200000,-0.075000,0.014499,0.000000,0.000000,-0.002416,0.000000,0.000000,-0.002416,0.000000,0.000000,-0.002416,0.000000,0.000000,-0.002416,0.000000,0.000000,0.488054,0.000000,0.000000,0.488054,0.000000,0.000000,0.488054,0.000000,0.000000,0.488054,0.001170,0.000000,0.001168,0.009919,0.009919,0.009919,0.005023,0.005023,0.005022,0.005023,0.005023,0.005022,0.005023,0.005023,0.005022,0.005023,0.005023,0.005022,0.0,0.0,0.0
0.133,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.198053,0.099312,0.090244,0.198054,-0.099312,0.090244,-0.198059,0.099317,0.090247,-0.198057,-0.099335,0.090248,0.000000,0.000000,0.213011,0.000000,0.000000,-0.497088,0.200000,0.075000,0.013123,0.200000,-0.075000,0.013123,-0.200000,0.075000,0.013123,-0.200000,-0.075000,0.013123,0.000000,0.000000,-0.002572,0.000000,0.000000,-0.002572,0.000000,0.000000,-0.002572,0.000000,0.000000,-0.002572,0.000000,0.000000,0.517895,0.000000,0.000000,0.517895,0.000000,0.000000,0.517895,0.000000,0.000000,0.517895,0.001187,0.000000,0.001185,0.010022,0.010022,0.010021,0.005027,0.005027,0.005026,0.005027,0.005027,0.005026,0.005027,0.005027,0.005026,0.005027,0.005027,0.005026,0.0,0.0,0.0
0.138,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.198053,0.099312,0.090244,0.198054,-0.099312,0.090244,-0.198059,0.099317,0.090247,-0.198057,-0.099335,0.090248,0.000000,0.000000,0.211607,0.000000,0.000000,-0.523784,0.200000,0.075000,0.011726,0.200000,-0.075000,0.011726,-0.200000,0.075000,0.011726,-0.200000,-0.075000,0.011726,0.000000,0.000000,-0.002720,0.000000,0.000000,-0.002720,0.000000,0.000000,-0.002720,0.000000,0.000000,-0.002720,0.000000,0.000000,0.546138,0.000000,0.000000,0.546138,0.000000,0.000000,0.546138,0.000000,0.000000,0.546138,0.001204,0.000000,0.001203,0.010115,0.010115,0.010115,0.005031,0.005031,0.005031,0.005031,0.005031,0.005031,0.005031,0.005031,0.005031,0.005031,0.005031,0.005031,0.0,0.0,0.0
